gsn,date,rake_amount,af_sub1
309753292,20260506,825000,influencer_001
309753292,20260511,47430000,influencer_001
309753292,20260507,10500000,influencer_001
309753292,20260514,10500000,influencer_001
309753292,20260515,10620000,influencer_001
309753292,20260427,16765889,influencer_001
309753292,20260419,16500000,influencer_001
309753292,20260510,16500000,influencer_001
309766831,20260422,16500000,influencer_001
309766831,20260423,16500000,influencer_001
309766832,20260422,16500000,influencer_001
309766832,20260423,10955077,influencer_001
309772285,20260427,31314925,influencer_001
309772285,20260513,10670000,influencer_001
309772285,20260509,8212000,influencer_001
309772285,20260514,26556525,influencer_001
309772285,20260505,138485125,influencer_001
309772285,20260429,2107500,influencer_001
309772285,20260508,10802221,influencer_001
309772285,20260424,32745087,influencer_001
309772285,20260430,190624,influencer_001
309772285,20260425,24150000,influencer_001
309772285,20260516,32533750,influencer_001
309772285,20260502,1475000,influencer_001
309772285,20260504,11477722,influencer_001
309772285,20260423,883105,influencer_001
309772285,20260426,10967734,influencer_001
309772285,20260422,51490969,influencer_001
309772285,20260515,14561500,influencer_001
309772285,20260510,21067770,influencer_001
309772285,20260428,144372460,influencer_001
309772285,20260501,12645000,influencer_001
309772285,20260517,1575500,influencer_001
309772285,20260511,376700,influencer_001
309775891,20260422,12900000,influencer_001
309775891,20260425,0,influencer_001
309775891,20260428,3486823,influencer_001
309775891,20260423,6895000,influencer_001
309775891,20260426,115500000,influencer_001
309794224,20260505,0,influencer_001
